source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
benzos-cited,66f942b1febd4e799dc55a13,Reapam,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a14,Restas,,,Other,oral,oral,mg,,0.5-1,1.5-3,3-5,,,,,,,,,,,,,,0,"A potent benzodiazepine that is roughly 4-5x the potency of Diazepam and has a longer duration, rarely seen outside of Japan. Sedative, hypnotic and anxiolytic. May cause amnesia and loss of inhibitions in excess. Do not mix with other depressants. | Avoid: All other CNS depressants. | Flutoprazepam - ~2.5mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a15,Restoril,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Temazepam's brand name is Restoril. It is a hypnotic benzodiazepine with effects similar to clonazepam, frequently prescribed as a sleep aid. Some users report mild euphoria alongside the hypnotic effects. | Avoid: All other CNS depressants. | Temazepam - 20mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a16,Rohypnol,,,Other,oral,oral,mg,,0.5-1,1-2,,2-4,,,,,,,,,,,,,0,"Known as Rohypnol or 'roofies,' this infamous drug has similar qualities to most other benzodiazepines; sedating with strong hypnotic effects. Despite being known as a 'date rape drug' has only been implicated in a small number of such crimes. Danger of respiratory depression in combination with other depressants. May cause amnesia and lowered inhibitions in overdose. | Flunitrazepam - 1mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a17,Roofies,,,Other,oral,oral,mg,,0.5-1,1-2,,2-4,,,,,,,,,,,,,0,"Known as Rohypnol or 'roofies,' this infamous drug has similar qualities to most other benzodiazepines; sedating with strong hypnotic effects. Despite being known as a 'date rape drug' has only been implicated in a small number of such crimes. Danger of respiratory depression in combination with other depressants. May cause amnesia and lowered inhibitions in overdose. | Flunitrazepam - 1mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a18,Rudotel,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,Benzodiazepine derivative that has all of the classic benzodiazepine effects. Is a long-acting benzodiazepine drug (Half life of 36-200 hours) Is rarely prescribed in most countries. Is also a prodrug for Diazepam. Think of it as Desoxy-Diazepam if you'd like to. | Avoid: All other CNS depressants. | Medazepam - 10mg ~=10mg Diazepam.
benzos-cited,66f942b1febd4e799dc55a19,Sedekopan,,,Other,oral,oral,mg,,0.5-1,1-2,2-4,,,,,,,,,,,,,,0,"A thienodiazepine anxiolytic. Similar in action to benzodiazepine drugs. Relieves anxiety, causes sedation and mild euphoria. High doses can lead to losing memory of what happened while on the drug. Users often compulsively re-dose frequently leading to accidental blackouts. Can be found in pressed pharmaceutical pills from various countries, clandestine pill presses, or as a powder | Avoid: Other depressants such as Alcohol and Opioids. | Etizolam - 1mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a1a,Serax,,,Other,oral,oral,mg,,5-10,10-30,30-45,,,,,,,,,,,,,,0,A prescription benzodiazepine with intermediate duration and half life. A sedative and hypnotic which may cause lowered inhibitions and amnesia in higher doses. | Avoid: All other CNS depressants. | Oxazepam - 20mg ~=10mg Diazepam.
benzos-cited,66f942b1febd4e799dc55a1b,Talis,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,Benzodiazepine derivative that has all of the classic benzodiazepine effects. Is a long-acting benzodiazepine drug (Half life of 36-200 hours) Is rarely prescribed in most countries. Is also a prodrug for Diazepam. Think of it as Desoxy-Diazepam if you'd like to. | Avoid: All other CNS depressants. | Medazepam - 10mg ~=10mg Diazepam.
benzos-cited,66f942b1febd4e799dc55a1c,Temazepam,restoril,benzodiazepine; habit-forming; depressant,Benzodiazepine,oral,oral,mg,,5-10,10-20,20-40,,20-90 minutes,,6-10 hours,,,"Anxiolytic, Sedative, Muscle Relaxant, Amnesia, Dystaxia, Hypnotic",,,,,,,1,"Temazepam's brand name is Restoril. It is a hypnotic benzodiazepine with effects similar to clonazepam, frequently prescribed as a sleep aid. Some users report mild euphoria alongside the hypnotic effects. | Avoid: All other CNS depressants. | Temazepam - 20mg ~=10mg Diazepam. | After-effects: 6-12 hours"
benzos-cited,66f942b1febd4e799dc55a1d,Towa,,,Other,oral,oral,mg,,0.5-1,1-2,2-4,,,,,,,,,,,,,,0,"A thienodiazepine anxiolytic. Similar in action to benzodiazepine drugs. Relieves anxiety, causes sedation and mild euphoria. High doses can lead to losing memory of what happened while on the drug. Users often compulsively re-dose frequently leading to accidental blackouts. Can be found in pressed pharmaceutical pills from various countries, clandestine pill presses, or as a powder | Avoid: Other depressants such as Alcohol and Opioids. | Etizolam - 1mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a1e,Tranxene,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Is a prodrug for Desmethyldiazepam which is responsible for most of the therapeutic effects. Has a long half life, with the addition of Desmethyldiazepam as the main metabolite, which makes it much longer. | Avoid: All other CNS depressants. | Clorazepate - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a1f,Tranzene,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Is a prodrug for Desmethyldiazepam which is responsible for most of the therapeutic effects. Has a long half life, with the addition of Desmethyldiazepam as the main metabolite, which makes it much longer. | Avoid: All other CNS depressants. | Clorazepate - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a20,Trepidan,,,Other,oral,oral,mg,,5-10,10-20,20-40,,,,,,,,,,,,,,0,"Benzodiazepine dervative. Has all the normal benzodiazepine-like quality (Anxiolytic/anticonvulsant/sedative/Skeletal muscle relaxant) It is also a prodrug for Desmethyldiazepam which is responsible for most if not all of the effects of Prazepam. | Avoid: All other CNS depressants, and Cimetidine | Prazepam - 15mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a21,Triazolam,halcion,benzodiazepine; habit-forming; depressant,Benzodiazepine,oral,oral,mg,,0.125-0.25,0.25-0.5,0.5-1.5,,10-20 minutes,,,,,"Anxiolytic, but primarily sedative or hypnotic",,,,,,,0,"An uncommon and very short acting benzodiazepine. Sedating and hypnotic, and may induce amnesia and lowered inhibitions at high doses. | Avoid: All other CNS depressants. | Triazolam - 0.5mg ~=10mg Diazepam. | After-effects: 1-6 hours"
benzos-cited,66f942b1febd4e799dc55a22,Valium,,,Other,oral,oral,mg,,2.5-5,5-15,,15-30,,,,,,,,,,,,,0,A very common and widely prescribed benzodiazepine with hypnotic and sedative qualities. The metre by which other benzodiazepines are compared. May cause amnesia and lowered inhibitions in excess. Has a relatively long half-life in comparison with other benzodiazepines. | Avoid: All other CNS depressants | Diazepam - 10mg ~=10mg Diazepam.
benzos-cited,66f942b1febd4e799dc55a23,Xanax,,,Other,oral,oral,mg,,0.25-0.5,0.5-1.5,1.5-2,2,,,,,,,,,,,,,0,"An extremely common benzodiazepine better known as Xanax, frequently prescribed for the treatment of anxiety and panic disorders. Alprazolam is short-lasting and primarily anxiolytic, though also possesses hypnotic properties. At high doses amnesia and loss of inhibition are common. Do not mix with other depressants. | Avoid: When taken for a long period of time, abrupt discontinuation is highly unadvised. Avoid combining other depressants such as Alcohol. | Alprazolam - 0.5mg ~=10mg Diazepam."
benzos-cited,66f942b1febd4e799dc55a24,Zoly,,,Other,oral,oral,mg,,0.5-1,1-2,2-4,,,,,,,,,,,,,,0,"A thienodiazepine anxiolytic. Similar in action to benzodiazepine drugs. Relieves anxiety, causes sedation and mild euphoria. High doses can lead to losing memory of what happened while on the drug. Users often compulsively re-dose frequently leading to accidental blackouts. Can be found in pressed pharmaceutical pills from various countries, clandestine pill presses, or as a powder | Avoid: Other depressants such as Alcohol and Opioids. | Etizolam - 1mg ~=10mg Diazepam."
