source,source_id,name,aliases,raw_classes,piru_category,default_route,routes,units,dose_threshold,dose_light,dose_common,dose_strong,dose_heavy,onset,peak,total_duration,half_life_min,mechanism_summary,effects,indications,contraindications,regulatory_status,cas_no,chemical_formula,tags,sources_count,notes
nps-datahub,61e5fc88-bf67-450a-aa77-bed06f0a93b9,5-MeO-NN-Diethyl hexylone,"5-MeO N,N-diethyl Hexylone; 2‐(diethylamino)‐1‐(7‐methoxy‐2H‐1,3‐benzodioxol‐5‐yl)hexan‐1‐one",Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,,C18H27NO4,Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; 5-MeO-NN-Diethyl hexylone - C18H27NO4,,
nps-datahub,0c8cd316-a765-4c44-891a-bd791fa6caa5,5F-ADB 2-indazole isomer,"5-F ADB 2-indazole isomer; methyl (2S)‐2‐{[2‐(5‐fluoropentyl)‐2H‐indazol‐3‐yl]formamido}‐3,3‐dimethylbutanoate",Cannabinoids,Cannabinoid,,,,,,,,,,,,,,,,,,,C20H28FN3O3,Cannabinoids; Small molecule; 5F-ADB 2-indazole isomer - C20H28FN3O3,,
nps-datahub,2601c85e-4204-43fe-8f4a-ef2615d59780,PTI-3,"N-((2-(1-(5-fluoropentyl)-1H-indol-3-yl)thiazol-4-yl)methyl)-2-methoxy-N-methylethan-1-amine; N-({2-[1-(5-fluoropentyl)-1H-indol-3-yl]-1,3-thiazol-4-yl}methyl)-2-methoxy-N-methylethanamine","Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Cannabinoid,,,,,,,,,,,,,,,,,,,C21H28FN3OS,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; PTI-3 - C21H28FN3OS",,"N-({2-[1-(5-fluoropentyl)-1H-indol-3-yl]-1,3-thiazol-4-yl}methyl)-2-methoxy-N-methylethanamine"
nps-datahub,34e97b6d-1459-4f73-acd9-1a17afa1a5cf,2F-deschloronorketamine,2-F Deschloronorketamine; 2-amino-2-(2-fluorophenyl)cyclohexan-1-one,Arylcyclohexylamines; 2021/6. Von Arylcyclohexylamin abgeleitete Verbindungen; 2022/6. Von Arylcyclohexylamin abgeleitete Verbindungen,Dissociative,,,,,,,,,,,,,,,,,,,C12H14FNO,Arylcyclohexylamines; 2021/6. Von Arylcyclohexylamin abgeleitete Verbindungen; 2022/6. Von Arylcyclohexylamin abgeleitete Verbindungen; Small molecule; 2F-deschloronorketamine - C12H14FNO,,2-amino-2-(2-fluorophenyl)cyclohexan-1-one
nps-datahub,1f9732f4-5cd3-4891-91ce-251c6d81f69b,"N,N-Diethyl hexylone","N,N-diethyl Hexylone; 1-(1,3-benzodioxol-5-yl)-2-(diethylamino)-1-hexanone",Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,,C17H25NO3,"Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; N,N-Diethyl hexylone - C17H25NO3",,
nps-datahub,a2e1fbed-614f-4f1e-970e-def14437c2c4,MDMB-BUTINACA,"methyl (S)-2-(1-butyl-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate; methyl (2S)-2-[(1-butylindazole-3-carbonyl)amino]-3,3-dimethylbutanoate","Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Cannabinoid,,,,,,,,,,,,,,,,,,,C19H27N3O3,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; MDMB-BUTINACA - C19H27N3O3",,"methyl (2S)-2-[(1-butylindazole-3-carbonyl)amino]-3,3-dimethylbutanoate"
nps-datahub,67dd39a2-569b-49b2-835d-3a41ad1e8dde,Phenethyl 4-ANPP,"N,1-diphenethyl-N-phenylpiperidin-4-amine; N‐phenyl‐N,1‐bis(2‐phenylethyl)piperidin‐4‐amine",Phenethylamines; Opioids; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,,C27H32N2,Phenethylamines; Opioids; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; Phenethyl 4-ANPP - C27H32N2,,
nps-datahub,f94a5302-3b8f-48e7-915c-74fd3d4e15f8,4-Anilino-1-Boc-piperidine,1-N-Boc-4-phenylaminopiperidine; 1-N-Boc-4-Phenylaminopiperidine,Opioids,Opioid,,,,,,,,,,,,,,,,,,125541-22-2,C16H24N2O2,Opioids; Small molecule; 4-Anilino-1-Boc-piperidine - C16H24N2O2 - 125541-22-2,,tert-butyl 4-anilinopiperidine-1-carboxylate
nps-datahub,548d5d75-2abd-4993-b14b-53caf11756e1,3-EtO-4-MeO-NN-Diethylhexedrone,"3-EtO-4-MeO N,N-Diethylhexedrone; 2‐(diethylamino)‐1‐(3‐ethoxy‐4‐methoxyphenyl)hexan‐1‐one",Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,,C19H31NO3,Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; 3-EtO-4-MeO-NN-Diethylhexedrone - C19H31NO3,,
nps-datahub,c771381c-3f43-464d-9785-04fe46d49f2c,4-Me-N-Ethylhexanophenone,2‐(ethylamino)‐1‐(4‐methylphenyl)hexan‐1‐one; 2-(ethylamino)-1-(p-tolyl)hexan-1-one; MEAHP,Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen,Stimulant,,,,,,,,,,,,,,,,,,,C15H23NO,Phenethylamines; Cathinones; 2020/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2021/1. Von 2-Phenethylamin abgeleitete Verbindungen; 2022/1. Von 2-Phenethylamin abgeleitete Verbindungen; Small molecule; 4-Me-N-Ethylhexanophenone - C15H23NO,,
nps-datahub,173026d6-c88f-49cb-bd93-a2a5e59742b1,UR-144 Degradant,"3,3,4-trimethyl-1-(1-pentylindol-3-yl)pent-4-en-1-one; 3,3,4-trimethyl-1-(1-pentyl-1H-indol-3-yl)pent-4-en-1-one","Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen",Cannabinoid,,,,,,,,,,,,,,,,,,1609273-88-2,C21H29NO,"Cannabinoids; 2020/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2021/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; 2022/2.1 Von Indol, Pyrazol und 4-Chinolon abgeleitete Verbindungen; Small molecule; UR-144 Degradant - C21H29NO - 1609273-88-2",,"3,3,4-trimethyl-1-(1-pentylindol-3-yl)pent-4-en-1-one"
nps-datahub,5d0107bc-813c-454d-881d-6ffc62b050e5,"3,4-Difluoro U-47700","N-(2-dimethylaminocyclohexyl)-3,4-difluoro-N-methylbenzamide; N‐[2‐(dimethylamino)cyclohexyl]‐3,4‐difluoro‐N‐methylbenzamide",Opioids; 2020/4. Von N-(2-Aminocyclohexyl)amid abgeleitete Verbindungen; 2021/4. Von N-(2-Aminocyclohexyl)amid abgeleitete Verbindungen; 2022/4. Von N-(2-Aminocyclohexyl)amid abgeleitete Verbindungen,Opioid,,,,,,,,,,,,,,,,,,,C16H22F2N2O,"Opioids; 2020/4. Von N-(2-Aminocyclohexyl)amid abgeleitete Verbindungen; 2021/4. Von N-(2-Aminocyclohexyl)amid abgeleitete Verbindungen; 2022/4. Von N-(2-Aminocyclohexyl)amid abgeleitete Verbindungen; Small molecule; 3,4-Difluoro U-47700 - C16H22F2N2O",,"N-(2-dimethylaminocyclohexyl)-3,4-difluoro-N-methylbenzamide"
