name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
4-O-methyldopamine,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
4-PrO-DMT,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,no,medium
4-PrO-MET,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,no,low
"4-propionoxy-N,N-dimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4B-MAR,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
4Cl-iBF,designer-opioids,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,low
4F-5-MeO-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4F-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4F-MABP,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
4F-MDMB-BINACA,cannabinoids,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
4F-MDMB-BUTINACA,cannabinoids,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,high
4F-MPH,stimulants-dat-inhibitors,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,medium
4f-neb,cannabinoids,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
4f-php,cannabinoids,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
4f-pvp,stimulants-cathinones,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,high
4T-MMDA-2,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
4′-Chloro-4-methylaminorex,stimulants-amphetamines,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
